,track_id,track_name,first_genre,position,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
384,4SH86PVrzO2YbuOGDxzqqs,Phantom Studies,3,39,-2.393064200566266,-0.8310621128286798,0.92064310028496,0.9771618896978281,2.1409227203585024,-0.5359552990199664,-0.25120122108109183,-0.4074597031121787,0.24135921899278853,0.7312115805190421
385,4SWWe2OYC4mqf40Gc2RSdl,Down Below,2,24,-0.20492352406293723,-0.7615756854457164,1.7955214542919278,-0.48541107253973237,-0.511960125287788,-0.6043617401432457,-0.10693116184670193,-0.010654365235958084,-0.09731448698876777,-0.4399399806130767
386,4SqWKzw0CbA05TGszDgMlc,I Love You So,1,10,0.824789735468041,0.7467209724305122,-0.06558340786834933,0.23841330162885638,-0.5131788748777659,-0.41130356186199085,0.5265752567949005,-0.5903621635394993,-1.5848278329892262,0.07066589033033846
387,4TwEdnSiTPDR1vg1QZ5K8W,Beautiful People,3,38,0.43864726314392416,-0.5658004336921291,0.8039926530840308,0.6600223443146838,-0.5131788748777659,-0.28969211097616104,0.46386553592559693,0.2559492211496276,0.14154244782090789,-0.12790305948098984
388,4TxDN6eKixUNTgs3B2e4DE,"13 Pieces, Op. 76: No. 3 Carillon",5,42,-1.427708019755974,1.874496718447656,-1.772921771445583,-2.122970442759287,1.9763048847453715,-0.7457350517980228,-2.7859809203473325,-0.5671118507733145,-1.7053721382831803,-1.6131177555187808
389,4UEsbE0UNk8zSITVqpBv75,Shape of You,2,8,-4.774276113231653,-0.6140548971525203,0.7933880669748554,0.18244749950241906,-0.5131788748777659,-0.3048935423368898,0.4324478400992925,0.08079686497770219,-0.13100940991315047,0.2368154197643068
390,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,2,9,0.6317184993059826,-0.648798110844002,0.4434367253720687,-0.20558206190754597,-0.5122113840895133,-0.6347646028647032,0.2331339777772172,3.613294384586714,1.3235190918196358,-0.9951225545753615
391,4WPC9MrVbtnpxcKFDyouit,"G Minor Bach (From ""Piano Tiles 2"")",5,48,-1.2989938623146016,1.8276209539432755,-1.7782240645001706,-1.171924911957363,2.1351466559510244,-0.38850141482089784,-1.2615943188550423,-0.6430628724761849,-1.3153360761328965,-0.9100215760847924
392,4WUcNkpoNSKoe5MUuyzrfC,You're Nobody 'Til Somebody Loves You - Remastered/1997,5,28,-0.526708917666368,1.278898769450827,-0.44734850779866225,-1.500257617765795,-0.5131788748777659,0.06754152600096382,-0.9513131548744596,-0.6446128933272638,-2.000494353319824,0.8244174141039513
393,4XvcHTUfIlWfyJTRG0aqlo,2055,2,11,0.11686186954049346,0.4957977624364779,1.281199027996922,-0.26900997098417495,-0.5131788748777659,-0.3732999834601691,0.40417191385561846,1.7532693632919292,-1.4315184696784864,0.7676834284435718
