,track_id,track_name,first_genre,position,seeded_cluster,k_means_cluster,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
181,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,4,24,0,1,0.7604326567473548,-0.860075453658979,-0.9033457104932036,1.3054945955062605,-0.5088468265721572,-0.2820913952957969,0.6501096367839296,0.6992551845582179,0.1426582857100245,-0.6547186406130848
182,2E6WTPlkw9uCQgZ9QzcSBg,Dawning,3,10,2,0,-2.5217783580076385,-0.6391472181519238,1.1857577530143435,-0.3846726287121454,2.1409227203585024,-0.5260743686354931,-0.9808457889511856,-0.3098083894942025,0.0730029508136581,-1.2058487870281998
183,2FP7JttwbYPXcXxIihEvop,"3 Nocturnes, Op. 9: II. Andante",5,40,4,2,-1.2989938623146016,1.8662245247115885,-1.057112209076246,-2.118493178589172,2.1380346881547636,0.0599408103205992,-2.196710617429167,-0.5454115588582087,-0.9603643743163665,-1.3963128817451878
184,2FY7b99s15jUprqC0M5NCT,Natural,4,21,0,1,0.5030043418646103,-0.2624866633696699,0.6184123961734611,0.1003643230503109,-0.5131788748777659,-0.6682077518583067,0.3731312303792297,-0.5097610792833919,-0.7727345425979504,-0.9262312862734722
185,2Fxmhks0bxGSBdJ92vM42m,bad guy,2,44,1,1,0.5673614205852965,0.0435845048648115,0.602505517009698,-0.5936116233175112,-0.1377346883916779,-0.5253142970674566,-0.2367490810009917,4.667308563320425,0.4152608633481331,0.4596989348586549
186,2HRqTpkrJO5ggZyyK6NPWz,Espresso,1,11,3,1,0.8891468141887272,-0.4996228838035925,0.5919009309005226,0.7159881464411211,-0.5131633950251538,0.2727608493708014,0.4774379805225604,-0.6911135188596335,-0.6385296764796604,1.051353356745469
187,2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),2,29,0,1,0.6960755780266688,-0.3396938049062959,-0.0761879939775252,0.3130343711307728,-0.5130630647863961,-0.4569078559441774,0.593809125863192,-0.4214098907718897,-1.179203853660678,-1.2301633523112194
188,2J2Z1SkXYghSajLibnQHOa,Unstoppable,1,35,0,1,0.4386472631439241,-0.5520134441320174,-0.6329287647092315,0.7271813068664086,-0.5121016388657712,-0.5177135813870922,0.5331101375267718,0.0621966147647542,1.7228538030458913,-0.7641341843866737
189,2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),2,24,0,1,0.6317184993059826,0.1566378192577281,0.5388780003546457,-0.3846726287121454,-0.513175900204596,-0.7920994174482457,0.1983231708016719,0.1179973654035978,-1.44795171859093,-0.6709283508017647
190,2KReCz1L5XkGIBhDncQ5VZ,BABY SAID,4,30,3,1,-0.0762093666215649,-0.8581342455289153,0.1836243656972713,0.488393884460276,-0.5131788748777659,-0.6803688969468896,0.6335210933876408,-0.6446128933272638,0.2760854466328697,0.6420581744813029
