user,position,user_seed_genre,cont_drift,cat_drift,total_drift
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,32,3,3.2420519102850593,0.5,3.7420519102850593
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,33,3,2.0395828948919283,0.5,2.5395828948919283
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,34,3,2.3007455671695713,0.5,2.8007455671695713
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,35,3,2.5378901231371582,0.5,3.0378901231371582
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,36,3,1.88005334770625,0.0,1.88005334770625
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,37,3,2.796133506730883,1.0,3.796133506730883
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,38,3,3.090423971452861,0.5,3.590423971452861
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,39,3,3.2142302268958285,1.0,4.214230226895829
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,40,3,2.3677372396240455,0.0,2.3677372396240455
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,41,3,1.9663696325180182,0.0,1.9663696325180182
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,42,3,2.377165324037995,1.0,3.377165324037995
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,43,3,2.8631049712024086,0.0,2.8631049712024086
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,44,3,2.0509278091067817,1.0,3.0509278091067817
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,45,3,2.484638306328881,1.0,3.484638306328881
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,46,3,2.4737498732616894,0.5,2.9737498732616894
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,47,3,2.4955608005137115,1.0,3.4955608005137115
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,48,3,2.405818158458285,0.5,2.905818158458285
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,49,3,1.9663696325180182,0.0,1.9663696325180182
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,50,3,2.5112312099784253,0.5,3.0112312099784253
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,51,3,2.1783454937169857,0.5,2.6783454937169857
19befa2d20a544b3819a1236cf7536c4_Harsh1,2,3,2.1158549074043926,1.0,3.1158549074043926
19befa2d20a544b3819a1236cf7536c4_Harsh1,3,3,4.1558476185780435,0.5,4.6558476185780435
19befa2d20a544b3819a1236cf7536c4_Harsh1,4,3,4.730446418577713,0.0,4.730446418577713
19befa2d20a544b3819a1236cf7536c4_Harsh1,5,3,2.407825810276564,1.0,3.407825810276564
19befa2d20a544b3819a1236cf7536c4_Harsh1,6,3,2.86843720769472,1.0,3.86843720769472
19befa2d20a544b3819a1236cf7536c4_Harsh1,7,3,3.3355601872519656,0.5,3.8355601872519656
19befa2d20a544b3819a1236cf7536c4_Harsh1,8,3,2.1196280084343635,0.5,2.6196280084343635
19befa2d20a544b3819a1236cf7536c4_Harsh1,9,3,4.060619402881409,0.0,4.060619402881409
19befa2d20a544b3819a1236cf7536c4_Harsh1,10,3,2.8814494036836362,0.0,2.8814494036836362
19befa2d20a544b3819a1236cf7536c4_Harsh1,11,3,3.2332118307802156,1.0,4.233211830780215
19befa2d20a544b3819a1236cf7536c4_Harsh1,12,3,2.8223182551416186,0.5,3.3223182551416186
19befa2d20a544b3819a1236cf7536c4_Harsh1,13,3,2.796133506730883,1.0,3.796133506730883
19befa2d20a544b3819a1236cf7536c4_Harsh1,14,3,2.338838939160541,0.5,2.838838939160541
19befa2d20a544b3819a1236cf7536c4_Harsh1,15,3,3.135237673508553,1.0,4.135237673508553
19befa2d20a544b3819a1236cf7536c4_Harsh1,16,3,3.7800192884876767,1.0,4.780019288487677
19befa2d20a544b3819a1236cf7536c4_Harsh1,17,3,2.536446042385054,0.5,3.036446042385054
19befa2d20a544b3819a1236cf7536c4_Harsh1,18,3,1.924857922552229,0.0,1.924857922552229
19befa2d20a544b3819a1236cf7536c4_Harsh1,19,3,2.509674411279,0.0,2.509674411279
19befa2d20a544b3819a1236cf7536c4_Harsh1,20,3,5.193745760388487,1.0,6.193745760388487
19befa2d20a544b3819a1236cf7536c4_Harsh1,21,3,2.2960647015485907,1.0,3.2960647015485907
19befa2d20a544b3819a1236cf7536c4_Harsh1,22,3,3.3810855676792437,0.0,3.3810855676792437
19befa2d20a544b3819a1236cf7536c4_Harsh1,23,3,2.541872042536084,0.5,3.041872042536084
19befa2d20a544b3819a1236cf7536c4_Harsh1,24,3,2.840510327010156,1.0,3.840510327010156
19befa2d20a544b3819a1236cf7536c4_Harsh1,25,3,2.471091583551913,0.5,2.971091583551913
19befa2d20a544b3819a1236cf7536c4_Harsh1,26,3,3.090423971452861,0.5,3.590423971452861
19befa2d20a544b3819a1236cf7536c4_Harsh1,27,3,2.8298384621149792,0.5,3.3298384621149792
19befa2d20a544b3819a1236cf7536c4_Harsh1,28,3,3.944076141407875,1.0,4.944076141407875
19befa2d20a544b3819a1236cf7536c4_Harsh1,29,3,2.484638306328881,1.0,3.484638306328881
19befa2d20a544b3819a1236cf7536c4_Harsh1,30,3,1.78203629538886,0.5,2.2820362953888598
19befa2d20a544b3819a1236cf7536c4_Harsh1,31,3,3.730982126099357,1.0,4.730982126099358
19befa2d20a544b3819a1236cf7536c4_Harsh1,32,3,3.2617935909570184,0.5,3.7617935909570184
19befa2d20a544b3819a1236cf7536c4_Harsh1,33,3,3.027072348773621,0.5,3.527072348773621
19befa2d20a544b3819a1236cf7536c4_Harsh1,34,3,2.6117078049227422,0.5,3.1117078049227422
19befa2d20a544b3819a1236cf7536c4_Harsh1,35,3,2.399576459337284,0.5,2.899576459337284
19befa2d20a544b3819a1236cf7536c4_Harsh1,36,3,3.067576447794767,0.5,3.567576447794767
19befa2d20a544b3819a1236cf7536c4_Harsh1,37,3,2.6607477970274886,0.5,3.1607477970274886
19befa2d20a544b3819a1236cf7536c4_Harsh1,38,3,2.3172196423138507,0.5,2.8172196423138507
19befa2d20a544b3819a1236cf7536c4_Harsh1,39,3,1.9075661678454863,0.0,1.9075661678454863
19befa2d20a544b3819a1236cf7536c4_Harsh1,40,3,4.458269011364782,0.5,4.958269011364782
19befa2d20a544b3819a1236cf7536c4_Harsh1,41,3,2.2614116396734922,1.0,3.2614116396734922
19befa2d20a544b3819a1236cf7536c4_Harsh1,42,3,1.984192708023562,0.0,1.984192708023562
19befa2d20a544b3819a1236cf7536c4_Harsh1,43,3,2.8673604053619672,0.5,3.3673604053619672
19befa2d20a544b3819a1236cf7536c4_Harsh1,44,3,2.6839797112674457,0.5,3.1839797112674457
19befa2d20a544b3819a1236cf7536c4_Harsh1,45,3,2.818803760432713,0.5,3.318803760432713
19befa2d20a544b3819a1236cf7536c4_Harsh1,46,3,3.718251959467604,1.0,4.7182519594676045
19befa2d20a544b3819a1236cf7536c4_Harsh1,47,3,3.5919492148713648,1.0,4.591949214871365
19befa2d20a544b3819a1236cf7536c4_Harsh1,48,3,2.8388054518569183,0.5,3.3388054518569183
19befa2d20a544b3819a1236cf7536c4_Harsh1,49,3,2.2137403895626524,0.5,2.7137403895626524
19befa2d20a544b3819a1236cf7536c4_Harsh1,50,3,3.1305098334289627,1.0,4.130509833428963
19befa2d20a544b3819a1236cf7536c4_Harsh1,51,3,3.255732469015069,0.5,3.755732469015069
24ec836fe8414606ad6a632f0eb5ee48_31ychrnk3frwjypzkaw6wnbnu27e,2,3,5.193745760388487,1.0,6.193745760388487
24ec836fe8414606ad6a632f0eb5ee48_31ychrnk3frwjypzkaw6wnbnu27e,3,3,4.132360493774974,0.5,4.632360493774974
24ec836fe8414606ad6a632f0eb5ee48_31ychrnk3frwjypzkaw6wnbnu27e,4,3,2.7935548721349055,0.5,3.2935548721349055
24ec836fe8414606ad6a632f0eb5ee48_31ychrnk3frwjypzkaw6wnbnu27e,5,3,3.4653943818206834,1.0,4.465394381820683
24ec836fe8414606ad6a632f0eb5ee48_31ychrnk3frwjypzkaw6wnbnu27e,6,3,2.3007455671695713,0.5,2.8007455671695713
